"id","created","salarymx","salaryusd","extramx","extrausd","variation","english_num","english_label","age","experience","seniority","country","city","profile","edutype","orgtype","emptype","remote","gender","education","act_dba","act_req","act_arq","act_bi","act_cap","act_dsc","act_spi","act_cons","act_dir","act_doc","act_devops","act_erp","act_deng","act_techsales","act_prog","act_front","act_pm","act_infosec","act_soporte","act_test","act_uxd","act_ventas","lang_bash","lang_csharp","lang_c","lang_cobol","lang_dart","lang_delphi","lang_elixir","lang_assm","lang_go","lang_groovy","lang_java","lang_js","lang_kotlin","lang_objc","lang_perl","lang_php","lang_plsql","lang_python","lang_r","lang_ruby","lang_rust","lang_scala","lang_swift","lang_vbnet","front_angular","front_phonegap","front_electron","front_flutter","front_ionic","front_ntscript","front_qt","front_react","front_unity","front_vue","front_xamarin","db_dynamo","db_cosmos","db_cassandra","db_elastic","db_firebasert","db_firestore","db_DB2","db_sqlserver","db_mongoDB","db_mysql","db_neo4j","db_oracle","db_pgsql","db_redis","db_sap","dsc_alteryx","dsc_azureml","dsc_dataiku","dsc_domino","dsc_h2o","dsc_watson","dsc_knime","dsc_rapidminer","dsc_sas","dsc_tf","infra_ansible","infra_chef","infra_docker","infra_k8s","infra_oshift","infra_ostack","infra_puppet","infra_terraform","infra_vmware","cert_agile","cert_android","cert_awsdev","cert_awsarch","cert_ba","cert_cisco","cert_cobit","cert_entarch","cert_cgeit","cert_gcloudarch","cert_gdata","cert_gweb","cert_itilint","cert_itilpra","cert_java","cert_linux","cert_msass","cert_msexp","cert_oracle","cert_pmp","cert_sap","cert_scrum","cert_infosec","cert_sixsigma","cert_testing2","cert_testing1","ben_equity","ben_car","ben_family","ben_edu","ben_bonus","ben_housing","ben_parking","ben_gas","ben_gym","ben_flexhours","ben_homeoffice","ben_loan","ben_healthmajor","ben_healthminor","ben_lifeins","ben_cafeteria","ben_cellphone","ben_vouchers"
1,"2019-12-23 22:14:57.072546",80000,0,60000,0,20,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),24,5,1,México,"Sao Paulo, Brazil",godin,autodidacta,startup,hibrido,Y,mujer,prepa,,,Y,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,
2,"2019-12-23 22:19:42.131242",28000,0,28,0,5,1,Elemental: Sé lo básico para sobrevivir (ILR 1),29,4,1,México,San Luis Potosi,godin,escuela,corp,nomina,N,hombre,universidad,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,Y,Y,,,,,,,,,Y,,,,,,,Y,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,
3,"2019-12-23 22:19:53.567686",26000,0,40000,0,4,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),34,7,3,México,San Luis Potosí,godin,trabajo,corp,nomina,N,hombre,universidad,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,Y,Y,,,,,,,,,Y,,,,,Y,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,Y,,,,,,
4,"2019-12-23 22:24:04.580942",35000,0,18000,0,30,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),25,5,2,México,México,godin,trabajo,corp,nomina,N,hombre,tecnica,,Y,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,Y,,
5,"2019-12-23 22:24:22.759488",17000,0,219000,0,0,1,Elemental: Sé lo básico para sobrevivir (ILR 1),28,2,1,México,San Luis Potosí,godin,escuela,corp,nomina,N,hombre,universidad,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,Y,Y,,,,,,,,,Y,,,,,,,Y,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,
6,"2019-12-23 22:26:46.171217",30000,0,10000,0,1,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),45,19,11,México,Aguascalientes,godin,escuela,itservices,nomina,Y,hombre,universidad,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"2019-12-23 22:32:35.16849",130000,0,0,0,0,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),44,27,9,México,CDMX,directivo,autodidacta,itservices,emprendedor,N,hombre,universidad,Y,,,,,,,,Y,,,,,,Y,,,,,,,,Y,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"2019-12-23 22:35:06.572744",15000,0,67000,0,20,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),31,4,3,México,Xalapa,godin,escuela,itservices,nomina,N,hombre,universidad,,Y,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,
9,"2019-12-23 22:37:45.562628",18000,0,72000,0,0,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),31,4,1,México,Guadalajara,godin,autodidacta,itservices,nomina,Y,mujer,universidad,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
10,"2019-12-23 22:42:35.367623",17000,0,15000,0,2,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),30,8,4,México,Reynosa,godin,cursos,corp,nomina,N,hombre,maestria,Y,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,Y,,,,,,Y
11,"2019-12-23 22:46:59.861762",42000,0,22000,0,10,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),26,3,2,México,CDMX,godin,trabajo,corp,nomina,N,hombre,universidad,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,
12,"2019-12-23 23:04:39.046583",70000,0,0,0,0,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),33,11,0,México,CDMX,godin,autodidacta,startup,nomina,N,hombre,universidad,,,Y,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,
13,"2019-12-23 23:29:24.203381",69000,0,80000,0,50,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),25,4,0,México,Guadalajara,godin,escuela,startup,nomina,Y,mujer,universidad,Y,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,Y,,Y,Y,,
